1000 7999
1 2 91
2 3 66
3 4 20
4 5 21
5 6 84
6 7 9
7 8 19
8 9 43
9 10 41
10 11 78
11 12 54
12 13 11
13 14 38
14 15 46
15 16 38
16 17 15
17 18 100
18 19 50
19 20 94
20 21 25
21 22 89
22 23 77
23 24 99
24 25 65
25 26 99
26 27 99
27 28 3
28 29 39
29 30 92
30 31 93
31 32 99
32 33 56
33 34 4
34 35 82
35 36 44
36 37 84
37 38 3
38 39 28
39 40 57
40 41 27
41 42 7
42 43 21
43 44 23
44 45 12
45 46 63
46 47 41
47 48 95
48 49 32
49 50 78
50 51 21
51 52 80
52 53 3
53 54 61
54 55 37
55 56 42
56 57 86
57 58 79
58 59 83
59 60 15
60 61 58
61 62 99
62 63 16
63 64 9
64 65 97
65 66 37
66 67 81
67 68 77
68 69 63
69 70 22
70 71 11
71 72 34
72 73 38
73 74 34
74 75 31
75 76 63
76 77 87
77 78 60
78 79 26
79 80 31
80 81 5
81 82 93
82 83 56
83 84 71
84 85 16
85 86 15
86 87 72
87 88 41
88 89 21
89 90 77
90 91 76
91 92 100
92 93 21
93 94 3
94 95 15
95 96 40
96 97 16
97 98 12
98 99 18
99 100 25
100 101 71
101 102 100
102 103 7
103 104 73
104 105 69
105 106 25
106 107 85
107 108 2
108 109 51
109 110 90
110 111 48
111 112 95
112 113 11
113 114 85
114 115 20
115 116 25
116 117 8
117 118 98
118 119 50
119 120 62
120 121 45
121 122 41
122 123 87
123 124 10
124 125 91
125 126 95
126 127 62
127 128 14
128 129 9
129 130 54
130 131 93
131 132 4
132 133 55
133 134 18
134 135 64
135 136 20
136 137 43
137 138 39
138 139 34
139 140 48
140 141 24
141 142 48
142 143 92
143 144 58
144 145 44
145 146 75
146 147 4
147 148 8
148 149 42
149 150 35
150 151 11
151 152 47
152 153 77
153 154 64
154 155 95
155 156 14
156 157 9
157 158 45
158 159 97
159 160 17
160 161 8
161 162 63
162 163 75
163 164 12
164 165 12
165 166 99
166 167 54
167 168 81
168 169 80
169 170 90
170 171 78
171 172 70
172 173 92
173 174 43
174 175 34
175 176 82
176 177 22
177 178 37
178 179 20
179 180 20
180 181 91
181 182 82
182 183 59
183 184 61
184 185 91
185 186 28
186 187 21
187 188 26
188 189 59
189 190 97
190 191 52
191 192 54
192 193 45
193 194 16
194 195 95
195 196 35
196 197 46
197 198 68
198 199 36
199 200 92
200 201 24
201 202 69
202 203 14
203 204 15
204 205 1
205 206 94
206 207 95
207 208 9
208 209 12
209 210 28
210 211 53
211 212 15
212 213 71
213 214 10
214 215 53
215 216 76
216 217 27
217 218 18
218 219 32
219 220 9
220 221 8
221 222 89
222 223 66
223 224 84
224 225 53
225 226 15
226 227 93
227 228 24
228 229 8
229 230 20
230 231 80
231 232 83
232 233 99
233 234 24
234 235 69
235 236 63
236 237 68
237 238 86
238 239 65
239 240 52
240 241 34
241 242 33
242 243 50
243 244 59
244 245 85
245 246 84
246 247 27
247 248 3
248 249 43
249 250 90
250 251 8
251 252 28
252 253 22
253 254 70
254 255 41
255 256 25
256 257 51
257 258 46
258 259 22
259 260 99
260 261 24
261 262 68
262 263 25
263 264 81
264 265 93
265 266 51
266 267 100
267 268 3
268 269 8
269 270 62
270 271 21
271 272 7
272 273 72
273 274 10
274 275 20
275 276 79
276 277 2
277 278 31
278 279 44
279 280 76
280 281 8
281 282 69
282 283 22
283 284 17
284 285 30
285 286 58
286 287 59
287 288 79
288 289 46
289 290 59
290 291 33
291 292 97
292 293 3
293 294 64
294 295 70
295 296 5
296 297 83
297 298 25
298 299 10
299 300 58
300 301 34
301 302 91
302 303 14
303 304 73
304 305 51
305 306 1
306 307 18
307 308 7
308 309 54
309 310 79
310 311 3
311 312 13
312 313 27
313 314 89
314 315 53
315 316 19
316 317 99
317 318 1
318 319 17
319 320 47
320 321 72
321 322 16
322 323 87
323 324 69
324 325 100
325 326 42
326 327 69
327 328 40
328 329 63
329 330 48
330 331 19
331 332 32
332 333 22
333 334 32
334 335 98
335 336 44
336 337 45
337 338 36
338 339 40
339 340 60
340 341 8
341 342 49
342 343 21
343 344 79
344 345 23
345 346 75
346 347 78
347 348 90
